paper_location,metric,value,unit,evidence_type,configuration,source_file,generator,claim_status
performance table / CPU kernel-only,CPU single-precision single-thread mean latency,0.627230542,ms,measured,10 kernels; 128x128; FFTW_MEASURE; one thread,experiments/data/D1_cpu_kernel/cpu_kernel_latency_summary.json,validation/benchmarks/cpu_socs_kernel_benchmark,usable with stated host and timing scope
performance table / FPGA kernel host wall,FPGA busy-poll host-observed median latency,13.59962,ms,on-board host wall-clock,resident data; 1000 runs; no sleep in polling,experiments/data/D2_fpga_kernel/fpga_kernel_latency_summary.json,experiments/collect_board_latency.py,not a hardware cycle measurement
accuracy table / board smoke,FPGA tmpImgp versus software Golden RMSE,2.9303560514e-08,absolute intensity,on-board,one 1024x1024 mask; 10 kernels; FPGA output 128x128,experiments/runs/smoke_full_platform/metrics.csv,source/host/full_platform/scripts/python/run_full_platform_validation.py,single-mask functional evidence only
power table / CPU package,CPU package dynamic power and energy,see JSON,W and J/call,measured,turbostat PkgWatt; idle and fftwf kernel load,experiments/data/D4_power_energy/energy_summary.json,experiments/collect_cpu_power.sh; experiments/organize_paper_evidence.py,CPU package boundary only
power table / FPGA,routed FPGA on-chip power,7.523 total; 6.890 dynamic,W,estimated,routed xcku5p; no SAIF/VCD,design_3_githubref_wrapper_power_routed.rpt,Vivado report_power,low-confidence estimate; not board measured
accuracy table / multi-mask,10-mask FPGA plus Host FI implementation RMSE distribution,see CSV,absolute intensity,on-board,T1-T10; standardized 1024x1024 V18 window; nk=10,experiments/data/E1_multi_mask/multi_mask_accuracy.csv,experiments/collect_multi_mask.py,usable as 10-sample evidence; 30-sample target not reached
accuracy table / multi-mask summary,worst and aggregate RMSE NRMSE MaxAE PSNR SSIM binary agreement,see JSON,mixed,on-board,T1-T10; threshold=0.225,experiments/data/E1_multi_mask/multi_mask_summary.json,experiments/collect_multi_mask.py,CD and EPE not defined
runtime configuration table,effective kernel sizes 5x5 9x9 17x17,see CSV,seconds and absolute intensity,on-board,Nx=2/4/8; nk=10,experiments/data/E3_kernel_size/kernel_size_runtime_config.csv,experiments/organize_paper_evidence.py,V18 maximum Nx=8
optical configuration table,Annular Dipole CrossQuadrupole and NA variation implementation error,see CSV,absolute intensity,on-board,1024x1024; nk=10,experiments/data/E4_optical_config/optical_configuration_accuracy.csv,experiments/collect_optical_config.py,Quasar not implemented; defocus model failures reported separately
resolution table,256 512 1024 PCIe stage breakdown and implementation error,see CSV,seconds and absolute intensity,on-board,Nx=2/4/8; nk=10,experiments/data/E5_resolution/resolution_stage_breakdown.csv,experiments/organize_paper_evidence.py,FPGA compute is host-observed with 10 ms polling quantization
